subject,code,group,hemi,roi_category,measured_category,category_type,mds_shift
sub-027,control027,control,r,house,face,Unilateral,0.49282160743485515
sub-027,control027,control,r,house,word,Unilateral,0.21460756687354032
sub-027,control027,control,r,house,object,Bilateral,0.36625857727290256
sub-027,control027,control,r,house,house,Bilateral,0.3785972655154108
sub-052,control052,control,l,face,face,Unilateral,0.2935468035348168
sub-052,control052,control,l,face,word,Unilateral,0.17022282841643613
sub-052,control052,control,l,face,object,Bilateral,0.3501822607483896
sub-052,control052,control,l,face,house,Bilateral,0.034853998531025686
sub-052,control052,control,l,word,face,Unilateral,0.19417076030981772
sub-052,control052,control,l,word,word,Unilateral,0.18259364382487744
sub-052,control052,control,l,word,object,Bilateral,0.3146914946116848
sub-052,control052,control,l,word,house,Bilateral,0.2604726264782454
sub-052,control052,control,l,object,face,Unilateral,0.481856787487099
sub-052,control052,control,l,object,word,Unilateral,0.1402658975725924
sub-052,control052,control,l,object,object,Bilateral,0.18564100533724331
sub-052,control052,control,l,object,house,Bilateral,0.34324685922363984
sub-052,control052,control,l,house,face,Unilateral,0.44017767384166945
sub-052,control052,control,l,house,word,Unilateral,0.6998174201614084
sub-052,control052,control,l,house,object,Bilateral,0.49775691846221415
sub-052,control052,control,l,house,house,Bilateral,0.5027945683508721
sub-052,control052,control,r,face,face,Unilateral,0.16811117723550367
sub-052,control052,control,r,face,word,Unilateral,0.22204400115629835
sub-052,control052,control,r,face,object,Bilateral,0.2996958647834172
sub-052,control052,control,r,face,house,Bilateral,0.09738097301982838
sub-052,control052,control,r,word,face,Unilateral,0.2204014023722225
sub-052,control052,control,r,word,word,Unilateral,0.5304063075006626
sub-052,control052,control,r,word,object,Bilateral,0.6499823167016999
sub-052,control052,control,r,word,house,Bilateral,0.14031550188146713
sub-052,control052,control,r,object,face,Unilateral,0.654269453994449
sub-052,control052,control,r,object,word,Unilateral,0.25162753200293814
sub-052,control052,control,r,object,object,Bilateral,0.464088098468669
